prenom,genre,count
ABDENBI,M,131
ABDENNASSER,M,25
ABDENNOUR,M,223
ABDENOR,M,112
ABDENOUR,M,452
ABDER,M,21
ABDERAHIM,M,338
ABDERAHIME,M,40
ABDERAHMAN,M,520
ABDERAHMANE,M,726
ABDERAHMEN,M,84
ABDERAHMENE,M,36
ABDERAMAN,M,44
ABDERAMANE,M,60
ABDERAOUF,M,44
ABDERAZAK,M,131
ABDEREMANE,M,50
ABDEREZAK,M,58
ABDERHAMAN,M,37
ABDERHAMANE,M,122
ABDERRAHIM,M,756
ABDERRAHIME,M,47
ABDERRAHMAN,M,824
ABDERRAHMANE,M,1877
ABDERRAHMEN,M,117
ABDERRAHMENE,M,31
ABDERRAMANE,M,32
ABDERRAOUF,M,65
ABDERRAZAK,M,244
ABDERREZAK,M,65
ABDERRHAMANE,M,62
ABDERZAK,M,33
ABDESALAM,M,23
ABDESALEM,M,28
ABDESAMAD,M,83
ABDESLAM,M,346
ABDESLAME,M,23
ABDESLEM,M,141
ABDESSALAM,M,111
ABDESSALEM,M,122
ABDESSAMAD,M,783
ABDESSAMADE,M,57
ABDESSAMED,M,53
ABDESSATAR,M,23
ABDESSELAM,M,75
ABDESSELEM,M,76
ABDESSLAM,M,90
ABDESSLEM,M,40
ABDI,M,55
ABDIAS,M,57
ABDIL,M,42
ABDILLAH,M,121
ABDILLAHI,M,35
ABDIRAHMAN,M,31
ABDLAZIZ,M,23
ABDNOUR,M,37
ABDO,M,24
ABDOLLAH,M,56
ABDON,MF,869
ABDONIE,F,22
ABDONISE,F,30
ABDOOL,M,27
ABDOU,M,1162
ABDOU-AZIZ,M,38
ABDOU-KARIM,M,50
ABDOU-RAHMAN,M,39
ABDOU-RAHMANE,M,28
ABDOU-SALAM,M,23
ABDOUALLAH,M,37
ABDOUKARIM,M,33
ABDOUL,M,1626
ABDOUL-ANZIZ,M,48
ABDOUL-AZIZ,M,200
ABDOUL-HAKIM,M,29
ABDOUL-HALIM,M,21
ABDOUL-HAMID,M,23
ABDOUL-KADER,M,56
ABDOUL-KARIM,M,230
ABDOUL-MALIK,M,78
ABDOUL-RAHIM,M,27
ABDOUL-RAHMAN,M,21
ABDOUL-WAHAB,M,29
ABDOULA,M,59
ABDOULAH,M,168
ABDOULAHI,M,35
ABDOULAI,M,28
ABDOULATIF,M,26
ABDOULATUF,M,21
ABDOULAY,M,135
ABDOULAYE,M,3854
ABDOULAZIZ,M,59
ABDOULHAKIM,M,36
ABDOULHAMID,M,24
ABDOULKADER,M,44
ABDOULKARIM,M,106
