patronyme,count
BEL,717
BELAID,353
BELAIR,291
BELARBI,339
BELHADJ,452
BELIN,1177
BELKACEM,329
BELLAICHE,468
BELLAMY,458
BELLANGER,1511
BELLE,477
BELLEC,754
BELLENGER,336
BELLET,907
BELLEVILLE,268
BELLIARD,574
BELLIER,651
BELLINI,250
BELLO,334
BELLOC,352
BELLOCQ,326
BELLON,625
BELLOT,673
BELMONTE,501
BELOT,666
BELTRAN,415
BENAISSA,445
BENALI,558
BENAMAR,309
BENAMARA,248
BENARD,2645
BENAYOUN,281
BENECH,297
BENEDETTI,526
BENET,405
BENETEAU,460
BENEZECH,251
BENGUIGUI,271
BENHAIM,291
BENHAMOU,1116
BENICHOU,724
BENJAMIN,352
BENOIST,1601
BENOIT,4564
BENSAID,447
BENSALEM,286
BENSIMON,359
BENSOUSSAN,537
BENYAHIA,370
BERANGER,559
BERARD,1511
BERAUD,872
BERDAH,285
BERENGER,448
BERENGUER,291
BERG,251
BERGE,691
BERGEON,273
BERGER,4352
BERGERET,423
BERGERON,804
BERGES,566
BERKANE,259
BERLAND,546
BERLIOZ,287
BERMOND,351
BERNABE,252
BERNADET,313
BERNAL,268
BERNARD,16475
BERNARDEAU,290
BERNARDI,665
BERNARDIN,499
BERNARDINI,345
BERNAT,354
BERNE,629
BERNET,440
BERNHARD,304
BERNIER,1702
BERNON,276
BERREBI,296
BERRY,823
BERT,723
BERTAUD,418
BERTAUX,468
BERTEAU,276
BERTHAUD,412
BERTHAULT,342
BERTHE,876
BERTHELOT,2199
BERTHET,1461
BERTHIER,1797
BERTHO,439
BERTHOME,370
BERTHON,785
BERTHOU,441
BERTIN,3483
BERTON,1070
BERTRAND,9376
BES,402
BESANCON,546
BESCOND,269
BESNARD,2545
BESNIER,964
BESOMBES,319
BESSE,1731
BESSET,522
BESSIERE,701
BESSIERES,297
BESSON,3436
BETTON,364
BEUCHER,391
BEY,431
BEYER,285
BEZARD,347
BEZIAT,332
BIANCHI,1041
BIANCO,571
BIARD,632
BIAU,269
BICHET,333
BICHON,499
BIDAUD,297
BIDAULT,846
BIDEAU,367
BIDET,393
BIENAIME,261
BIENFAIT,266
BIENVENU,551
BIGNON,637
BIGOT,2249
BIHAN,289
BILLARD,1636
BILLAUD,764
BILLET,905
BILLON,1029
BILLOT,553
BILLY,594
BINET,1312
BION,258
BIRON,576
BIROT,330
BISCHOFF,329
BISMUTH,530
BISSON,1054
BITTON,325
BIZET,605
BIZOT,287
BLACHE,454
BLACHERE,276
BLACHON,263
BLAIN,733
BLAIS,543
