patronyme,count
DIEU,529
DIEUDONNE,587
DIEZ,410
DIJOUX,1379
DION,636
DIOP,1319
DIOT,835
DIOUF,392
DO,386
DOGAN,611
DOLE,269
DOLLE,369
DOMENECH,336
DOMERGUE,530
DOMINGUES,536
DOMINGUEZ,620
DOMINICI,256
DOMINIQUE,410
DONAT,248
DONATI,257
DONNADIEU,341
DONNET,280
DORE,1184
DOREY,260
DOUARD,343
DOUAY,434
DOUBLET,644
DOUCET,1563
DOUCHET,402
DOUCOURE,303
DOUET,452
DOUILLARD,382
DOUILLET,380
DOUSSET,407
DOUSSOT,261
DOUX,364
DOYEN,622
DRAI,318
DRAME,726
DRAPEAU,304
DRAPIER,283
DRAY,523
DREAN,326
DREANO,272
DREUX,459
DREVET,541
DREYER,301
DREYFUS,329
DRIDI,484
DROUARD,370
DROUET,1401
DROUIN,970
DROUOT,331
DRUART,311
DUARTE,663
DUBARRY,371
DUBOC,397
DUBOIS,12951
DUBOS,1105
DUBOSC,280
DUBOSCQ,263
DUBOST,878
DUBOURG,1151
DUBRAY,283
DUBREUIL,1620
DUBROCA,263
DUBRULLE,360
DUBUC,582
DUBUIS,341
DUBUISSON,574
DUBUS,766
DUC,802
DUCAMP,284
DUCASSE,804
DUCHAMP,405
DUCHATEAU,333
DUCHEMIN,1115
DUCHENE,1146
DUCHER,321
DUCHESNE,926
DUCLOS,1745
DUCLOUX,298
DUCOS,742
DUCRET,673
DUCREUX,439
DUCROCQ,1155
DUCROS,852
DUCROT,568
DUCROUX,269
DUEZ,463
DUFAU,642
DUFAY,370
DUFFAU,330
DUFLOS,417
DUFLOT,416
DUFOSSE,389
DUFOUR,5587
DUFRESNE,881
DUGAS,323
DUGAST,480
DUGUE,684
DUGUET,355
DUHAMEL,1755
DUHEM,272
DUJARDIN,1304
DULAC,681
DULONG,275
DULUC,292
DUMAINE,361
DUMAS,5226
DUMAY,376
DUMESNIL,361
DUMEZ,300
DUMON,457
DUMOND,362
DUMONT,5647
DUMONTET,318
DUMONTIER,305
DUMORTIER,616
DUMOULIN,1424
DUNAND,525
DUONG,415
DUPARC,296
DUPAS,720
DUPE,266
DUPERRAY,271
DUPEYRON,275
DUPIN,1476
DUPIRE,410
DUPLAN,409
DUPONT,8033
DUPORT,567
DUPOUY,1106
DUPRAT,1203
DUPRE,1995
DUPREZ,350
DUPUIS,3656
DUPUY,4397
DUQUENNE,389
DUQUENOY,308
DUQUESNE,759
DUQUESNOY,403
DURAN,587
DURAND,13901
DURANT,381
DURANTON,344
DUREL,315
DURET,1196
DURIEUX,781
DURIEZ,698
DURIF,264
DURIN,308
DUROT,261
DURU,277
DURUPT,260
DURY,402
DUSSART,458
DUTEIL,367
DUTERTRE,676
DUTHEIL,536
DUTHOIT,388
DUTOUR,299
DUVAL,6170
DUVEAU,330
DUVERGER,571
DUVERT,276
DUVIVIER,573
EDMOND,384
EDOUARD,562
EGEA,258
EHRET,265
ELBAZ,617
ELIAS,280
ELIE,761
ELISABETH,358
ELOY,493
EMERY,764
EMMANUEL,259
ENGEL,559
ENJALBERT,343
EON,442
ERARD,300
ERDOGAN,295
ERNST,318
ESCANDE,524
ESCOFFIER,620
ESCUDERO,262
ESNAULT,1301
ESPINASSE,537
ESPINOSA,330
ESPOSITO,827
ESTEBAN,315
ESTEVE,1153
ESTEVES,552
ESTIENNE,279
ESTIVAL,290
ESTRADE,489
ETCHEVERRY,706
ETHEVE,489
ETIENNE,2946
EUGENE,406
EUSTACHE,308
EVAIN,353
EVANS,300
EVEN,763
EVENO,331
EVRARD,1830
EXBRAYAT,367
EXPOSITO,303
EYCHENNE,383
EYMARD,542
EYNARD,265
EYRAUD,677
FABER,258
FABRE,6071
FABRY,354
FACON,343
FAGE,250
FAGES,704
FAGET,370
FAGOT,488
FAIVRE,1828
FALCK,474
FALCO,286
FALL,658
FANGET,257
FARCY,373
FARES,254
FARGE,371
FARGES,489
FARGIER,381
FARGUES,267
FARINA,348
FARRE,285
FARRUGIA,363
FAU,437
FAUCHER,1210
FAUCHEUX,550
FAUCON,666
FAUCONNIER,407
FAUGERE,303
FAUQUET,334
FAURE,8267
FAURIE,540
FAUVEAU,266
FAUVEL,833
FAUVET,435
FAUX,317
FAVARD,337
FAVIER,1711
FAVRE,2183
FAVREAU,731
FAY,404
FAYARD,759
FAYE,1156
FAYET,650
FAYOLLE,1072
FEBVRE,273
FELIX,1486
FERAL,303
FERAUD,590
FERDINAND,250
FERET,516
FEREY,318
FERNANDES,2779
FERNANDEZ,5594
FERON,694
FERRAN,334
FERRAND,2446
FERRANDO,335
FERRARA,384
FERRARI,1500
FERRARO,272
FERRE,1710
FERREIRA,3420
FERRER,1430
FERRERE,343
FERRERO,723
FERRET,751
FERRI,371
FERRIE,255
FERRIER,1116
FERRIERE,392
FERRO,267
FERRON,687
FERRY,1357
FERTE,300
FERY,297
FEUILLET,538
FEVRE,721
FEVRIER,797
FICHET,374
FICHOT,249
FIEVET,673
FILHOL,250
FILIPPI,769
FILLION,373
FILLON,670
FINCK,305
FINET,438
FINOT,313
FIORE,249
FIQUET,390
FIRMIN,418
FISCHER,1885
FITOUSSI,604
FLAHAUT,475
FLAMAND,408
FLAMANT,386
FLAMENT,1139
FLANDIN,272
FLANDRIN,261
FLEURET,319
FLEURY,3574
FLOCH,629
FLOQUET,412
FLORENT,457
FLORENTIN,555
FLORES,1215
FLORET,300
FLORIN,301
FLORY,251
FOFANA,755
FOLLET,387
FOLLIOT,375
FONSECA,266
FONT,486
FONTAINE,8010
FONTAN,419
FONTANA,631
FONTANEL,250
FONTENEAU,729
FONTES,288
FOREST,1166
FORESTIER,1540
FORET,575
FORGET,877
FORT,1410
FORTE,320
FORTIER,545
FORTIN,1534
FORTUNE,389
FOSSE,654
FOUASSIER,268
FOUBERT,524
FOUCART,324
FOUCAUD,424
FOUCAULT,1186
FOUCHARD,401
FOUCHE,563
FOUCHER,1800
FOUCHET,297
FOUET,273
FOUGERAY,266
FOUGERE,408
FOUILLET,371
FOULON,1218
FOULQUIER,326
FOUQUE,588
FOUQUET,1685
FOURCADE,1210
FOURE,281
FOUREL,288
FOURES,282
FOURNEL,557
FOURNET,667
FOURNIE,441
FOURNIER,8885
FOURNY,285
FOURQUET,253
FOURRE,346
FOURRIER,534
FRADET,541
FRADIN,715
FRAISSE,958
FRANC,492
FRANCE,340
FRANCES,590
FRANCESCHI,433
FRANCESCHINI,262
FRANCHI,375
FRANCISCO,343
FRANCK,526
FRANCO,906
FRANCOIS,7372
FRANCOISE,470
FRANCON,300
FRANK,251
FRANTZ,318
FRAYSSE,857
FREDERIC,282
FREITAS,266
FREMAUX,277
FREMONT,812
FRERE,454
FREY,827
FRIEDRICH,274
FRISON,314
FRITSCH,882
FRITZ,498
FROGER,751
FROMENT,1070
FROMENTIN,541
FROMONT,474
FROSSARD,310
FROUIN,286
FRUGIER,277
FUCHS,946
FUENTES,680
FURET,313
FURLAN,255
FUSTER,251
GABARD,364
GABET,431
GABORIAU,327
GABORIEAU,295
GABORIT,675
GABRIEL,1176
GACHE,291
GACHET,801
GACON,312
GAGNAIRE,368
GAGNE,287
GAGNEUX,348
GAIGNARD,304
GAILLARD,5695
GAILLET,309
GAILLOT,519
GAL,366
GALAN,326
GALAND,389
GALEA,278
GALIBERT,399
GALINDO,261
GALINIER,429
GALLAIS,779
GALLAND,1143
GALLARD,405
GALLARDO,274
GALLAY,341
GALLE,348
GALLEGO,403
GALLET,1633
GALLI,352
GALLIEN,403
GALLIER,293
GALLIOT,339
GALLO,941
GALLOIS,846
GALLON,412
GALLOT,523
GALLOU,256
GALMICHE,399
GALOPIN,284
GALTIER,638
GALY,669
GAMBA,263
GAMBIER,454
GAMET,262
GANDON,801
GANGLOFF,348
GANNE,355
GARAT,273
GARAUD,253
GARCIA,11966
GARCIN,1105
GARCON,456
GARDE,446
GARDES,474
GARDET,350
GARDETTE,329
GARDIN,281
GARDON,255
GAREL,524
GARIN,730
GARNIER,7665
GARRAUD,285
GARREAU,954
GARRIC,343
GARRIDO,496
GARRIGUE,381
GARRIGUES,910
GARY,455
GASC,483
GASMI,309
GASNIER,919
GASPAR,368
GASPARD,631
GASQUET,330
GASSAMA,404
GASSER,371
GASTALDI,313
GASTAUD,292
GASTINEAU,253
GASTON,538
GATEAU,449
GATINEAU,347
GATTI,335
GATTO,262
GAU,403
GAUBERT,1090
GAUCHER,881
GAUCHET,346
GAUDE,251
GAUDET,355
GAUDIN,2357
GAUDRON,269
GAUDRY,542
GAULT,382
GAULTIER,900
GAUME,284
GAUTHERON,381
GAUTHIER,7287
GAUTIER,6858
GAUTREAU,401
GAUTRON,510
GAUVIN,666
GAUVRIT,354
GAVARD,311
GAY,2833
GAYE,440
GAYET,619
GAYRAUD,699
GAZEAU,431
GEAY,532
GEFFROY,956
GEHIN,495
GELIN,477
GELLY,272
GELY,561
GENDRE,868
GENDRON,698
GENEST,490
GENESTE,526
GENET,872
GENEVOIS,351
GENIN,1030
GENOT,373
GENTIL,671
GENTILHOMME,280
GENTY,798
GEOFFRAY,331
GEOFFROY,1614
GEORGE,1132
GEORGES,2441
GEORGET,795
GERARD,5237
GERARDIN,580
GERAUD,629
GERAULT,308
GERBAUD,459
GERBER,573
GERIN,495
GERMAIN,3378
GERMOND,294
GERVAIS,1650
GERY,267
GESLIN,620
GESTIN,342
GHARBI,520
GHESQUIERE,267
GIBAUD,269
GIBAULT,253
GIBERT,1611
GICQUEL,1306
GIFFARD,284
GIL,1312
GILBERT,2686
GILET,456
GILLARD,522
GILLE,484
GILLES,2165
GILLET,2933
GILLOT,988
GILLY,275
GILOT,257
GIMENEZ,2373
GIMENO,257
GINER,360
GINESTE,487
GINESTET,425
GINET,312
GIORDANO,1048
GIORGI,393
GIRARD,9288
GIRARDEAU,542
GIRARDET,385
GIRARDIN,685
GIRARDOT,757
GIRAUD,6147
GIRAUDEAU,549
GIRAUDET,421
GIRAUDO,337
GIRAUDON,446
GIRAULT,1702
GIRE,270
GIROD,777
GIRON,437
GIROT,341
GIROUD,830
GIROUX,540
GIRY,408
GITTON,312
GIUDICELLI,466
GIULIANI,266
GLEIZE,294
GLEIZES,432
GLOAGUEN,357
GLORIEUX,260
GOBERT,877
GOBET,301
GOBIN,625
GODARD,2058
GODART,694
GODEAU,298
GODEFROY,1260
GODET,1161
GODIN,1079
GODON,358
GOETZ,541
GOGUET,261
GOHIER,412
GOMBERT,567
GOMES,1794
GOMEZ,3484
GOMIS,660
GONCALVES,2686
GONIN,635
GONNET,795
GONON,479
GONTARD,269
GONTHIER,1047
GONTIER,787
GONZALES,1235
GONZALEZ,3912
GORCE,287
GORIN,263
GORON,259
GORSE,257
GOSSE,587
GOSSELIN,1510
GOSSET,849
GOT,326
GOUBERT,339
GOUBET,381
GOUDARD,348
GOUGEON,674
GOUIN,854
GOUJON,1226
GOULARD,302
GOULET,340
GOUPIL,886
GOURAUD,353
GOURDIN,479
GOURDON,963
GOURET,252
GOURGUES,341
GOURIOU,365
GOURNAY,276
GOUSSET,251
GOUT,405
GOUTTE,264
GOUX,394
GOUY,373
GOY,498
GOYET,272
GRACIA,457
GRAFF,479
GRALL,576
GRAND,1721
GRANDIN,590
GRANDJEAN,1455
GRANET,538
GRANGE,1671
GRANGEON,282
GRANGER,1539
GRANGIER,355
GRANIER,1620
GRANJON,325
GRARD,299
GRAS,1834
GRASSET,785
GRASSI,248
GRAU,479
GRAUX,275
GRAVE,332
GRAVIER,731
GRAZIANI,415
GRECO,504
GREGOIRE,2378
GRELET,365
GRELIER,405
GRELLIER,483
GRENET,582
GRENIER,1979
GRENON,260
GRESSIER,406
GRIFFON,591
GRIGNON,422
GRILLET,585
GRILLON,336
GRILLOT,366
GRIMAL,459
GRIMALDI,552
GRIMAUD,1222
GRIMAULT,474
GRISON,334
GROLLEAU,563
GRONDIN,2386
GROS,2947
GROSBOIS,335
GROSJEAN,1235
GROSS,962
GROSSE,398
GROSSET,489
GROSSI,253
GROSSO,329
GROULT,426
GROUSSET,311
GRUEL,269
GRUET,334
GRUSON,327
GUEDJ,809
GUEDON,712
GUEGAN,1134
GUEGUEN,1482
GUENARD,396
GUENEAU,249
GUENIN,264
GUENOT,444
GUERARD,641
GUERET,528
GUERIN,7851
GUERINEAU,534
GUEROULT,319
GUERRA,465
GUERRE,388
GUERREIRO,274
GUERRERO,442
GUERRIER,674
GUERRY,451
GUERY,770
GUESDON,592
GUET,275
GUETTA,260
GUEYE,811
GUEZ,556
GUFFROY,258
GUGLIELMI,291
GUIARD,265
GUIBERT,2065
GUICHARD,2980
GUICHETEAU,259
GUICHON,272
GUIDEZ,280
GUIDICELLI,274
GUIET,287
GUIGNARD,1244
GUIGON,284
GUIGUE,417
GUIHARD,313
GUILBAUD,1049
GUILBERT,1936
GUILHEM,454
GUILHOT,271
GUILLARD,1394
GUILLAUD,646
GUILLAUME,4194
GUILLAUMIN,388
GUILLE,416
GUILLEMAIN,389
GUILLEMARD,293
GUILLEMET,574
GUILLEMIN,1531
GUILLEMINOT,262
GUILLEMOT,1334
GUILLEN,349
GUILLERM,514
GUILLERME,302
GUILLERMIN,419
GUILLET,2223
GUILLEUX,270
GUILLIER,297
GUILLIN,320
GUILLO,458
GUILLOIS,357
GUILLON,2379
GUILLOT,4140
GUILLOTEAU,541
GUILLOTIN,381
GUILLOU,2307
GUILLOUX,980
GUIMARD,398
GUINARD,562
GUINET,676
GUINOT,644
GUION,252
GUIOT,749
GUIRAUD,1376
GUITARD,567
GUITTARD,533
GUITTET,338
GUITTON,1135
GUIVARCH,337
GUSTAVE,347
GUTH,342
GUTIERREZ,726
GUY,1755
GUYADER,397
GUYARD,891
GUYOMARD,533
GUYON,1856
GUYONNET,486
GUYOT,3623
HAAG,290
HAAS,837
HABERT,454
HABIB,403
HACHE,281
HADDAD,1549
HADDADI,248
HADJADJ,385
HADJI,301
HAGEGE,314
HAHN,252
HAJJI,262
HALIMI,444
HALL,250
HALLER,274
HAMADI,301
HAMARD,656
HAMDAOUI,315
HAMDI,496
HAMEAU,289
HAMEL,1716
HAMELIN,992
HAMIDI,392
HAMM,336
HAMMAMI,322
HAMON,2771
HAMZA,329
HAMZAOUI,306
HARDOUIN,652
HARDY,2289
HAREL,670
HARMAND,276
HART,298
HARTMANN,648
HASCOET,406
HASSAN,449
HASSANI,558
HAVARD,550
HAVET,282
HAY,528
HAYE,354
HAZAN,262
HAZARD,378
HEBERT,2372
HEBRARD,681
HECQUET,531
HEDOUIN,272
HEIM,308
HEINRICH,485
HEINTZ,398
HEITZ,611
HEITZMANN,427
HELIAS,297
HELIE,267
HEMERY,898
HEMON,389
HENAFF,373
HENAULT,493
HENIN,341
HENNEQUIN,733
HENNION,253
HENON,520
HENRI,668
HENRIET,372
HENRION,455
HENRIOT,535
HENRIQUES,295
HENRY,6659
HERAUD,748
HERAULT,976
HERBAUT,313
HERBERT,626
HERBET,278
HERBIN,514
HERBRETEAU,362
HERISSON,341
HERITIER,412
HERMAN,444
HERMANN,484
HERMANT,464
HERMET,315
HERNANDEZ,3090
HERON,385
HERPIN,374
HERRERA,287
HERRERO,337
HERRMANN,542
HERRY,476
HERVE,3277
HERVET,305
HERVIEU,455
HERVOUET,426
HERVY,383
HERY,676
HERZOG,297
HESS,265
HEUZE,509
HIBON,268
HILAIRE,841
HILLION,342
HIRSCH,339
HIVERT,373
HO,456
HOANG,442
HOARAU,2535
HOAREAU,1828
HOCHART,426
HOCHET,270
HOCQUET,248
HOFF,252
HOFFMANN,1666
HONORE,889
HORN,758
HOUDAYER,300
HOUEL,376
HOUSSIN,431
HOUZE,327
HU,470
HUANG,548
HUARD,858
HUART,542
HUBER,710
HUBERT,4169
HUC,412
HUCHET,601
HUCK,313
HUE,1090
HUET,3807
HUG,313
HUGON,883
HUGOT,489
HUGUENIN,494
HUGUES,964
HUGUET,1539
HULIN,427
HUMBERT,2547
HUMBLOT,321
HUMEAU,499
HUON,402
HUOT,493
HURE,332
HUREAU,254
HUREL,527
HURET,332
HUSSON,1441
HUTIN,432
HUYGHE,436
HUYNH,814
IBANEZ,616
IBRAHIM,515
ICARD,297
IGLESIAS,343
IMBERT,2529
ISAAC,342
ISNARD,622
ISRAEL,426
ISSARTEL,299
IZARD,520
JACOB,2948
JACQ,600
JACQUART,309
JACQUELIN,430
JACQUEMET,288
JACQUEMIN,1251
JACQUES,2426
JACQUET,3758
JACQUIER,896
JACQUIN,1145
JACQUINOT,274
JACQUOT,1850
JAEGER,355
JAFFRE,551
JAILLET,499
JALABERT,360
JALLET,276
JAMAIN,275
JAMBON,384
JAMES,995
JAMET,1467
JAMIN,665
JAMMES,510
JAN,892
JANIN,1002
JANNIN,273
JANOT,371
JANSSENS,311
JANVIER,988
JAOUEN,884
JARDIN,947
JARRIGE,300
JARRY,1164
JAUBERT,649
JAUFFRET,324
JAULIN,427
JAUNET,342
JAY,614
JEAN,4780
JEANJEAN,644
JEANNE,1386
JEANNEAU,490
JEANNIN,953
JEANNOT,768
JEANSON,380
JEANTET,271
JEGO,488
JEGOU,768
JEHANNO,399
JEHL,297
JEROME,499
JESTIN,285
JEUDY,266
JEZEQUEL,651
JIMENEZ,1174
JOACHIM,372
JOB,327
JOBARD,418
JOBERT,375
JOFFRE,363
JOHNSON,428
JOLIVET,1336
JOLLIVET,256
JOLLY,1409
JOLY,5232
JONCOUR,312
JONES,618
JORDAN,411
JORET,281
JORGE,306
JOSEPH,2297
JOSSE,1094
JOSSELIN,366
JOSSERAND,473
JOSSET,317
JOSSO,249
JOST,498
JOUAN,1303
JOUANNE,255
JOUANNEAU,458
JOUANNET,266
JOUAULT,275
JOUBERT,2509
JOUENNE,269
JOUET,453
JOUFFROY,250
JOUIN,484
JOULIN,250
JOURDAIN,1573
JOURDAN,2437
JOURDE,265
JOURNET,517
JOURNO,340
JOUSSE,403
JOUSSELIN,363
JOUSSET,431
JOUVE,1478
JOUVIN,268
JOUY,302
JOVANOVIC,462
JOYEUX,704
JUAN,627
JUBERT,271
JUGE,447
JUHEL,436
JUILLARD,722
JUILLET,388
JUIN,395
JULES,250
JULIA,454
JULIAN,302
JULIEN,3614
JULIENNE,391
JULLIAN,356
JULLIARD,294
JULLIEN,1493
JUMEL,311
JUNG,1383
JUSTE,251
KABA,273
KACI,350
KACZMAREK,296
KADDOUR,255
KADDOURI,290
KADI,250
KADRI,372
KAHN,291
KAISER,426
KANE,286
KANTE,282
KARA,558
KARL,274
KAUFFMANN,620
KAYA,751
KAYSER,276
KEBE,327
KEITA,644
KELLER,1381
KEMPF,459
KERN,460
KERVELLA,288
KESSLER,422
KHALDI,334
KHALIFA,304
KHAN,542
KHELIFA,252
KHELIFI,380
KIEFFER,1161
KIENER,258
KILIC,410
KIM,673
KLEIN,3431
KOC,280
KOCH,910
KOENIG,714
KOHLER,646
KONATE,428
KONE,505
KOPP,310
KOSKAS,254
KOWALSKI,366
KRAEMER,273
KREBS,403
KREMER,527
KRIEF,455
KUHN,721
KUNTZ,552
LABADIE,658
LABARRE,532
LABARTHE,449
LABAT,1367
LABATUT,375
LABBE,1874
LABEYRIE,331
LABIDI,312
LABONNE,365
LABORDE,2026
LABORIE,796
LABROSSE,387
LABROUSSE,785
LACAILLE,399
LACAN,369
LACASSAGNE,386
LACAZE,1130
LACHAUD,645
LACOMBE,2582
LACOSTE,2296
LACOTE,276
LACOUR,1430
LACOURT,260
LACOUTURE,258
LACROIX,4869
LAFAGE,387
LAFARGE,682
LAFARGUE,922
LAFAY,405
LAFAYE,568
LAFFARGUE,530
LAFFITTE,604
LAFFONT,1017
LAFFORGUE,428
LAFITTE,951
LAFLEUR,913
LAFON,2067
LAFOND,980
LAFONT,1491
LAFONTAINE,320
LAFORET,433
LAFORGE,432
LAFOSSE,532
LAFOURCADE,385
LAGACHE,697
LAGADEC,439
LAGARDE,2250
LAGARDERE,335
LAGARRIGUE,460
LAGET,390
LAGIER,544
LAGNEAU,364
LAGORCE,285
LAGOUTTE,475
LAGRANGE,1424
LAGRENEE,280
LAGUERRE,433
LAHAYE,833
LAI,263
LAIGLE,352
LAINE,2094
LAIR,729
LAISNE,392
LAISNEY,276
LALANDE,846
LALANNE,1529
LALLEMAND,1411
LALLEMENT,855
LALLIER,321
LAM,580
LAMAISON,263
LAMARCHE,476
LAMARE,307
LAMARQUE,1046
LAMARRE,472
LAMBERT,8737
LAMBIN,288
LAMBLIN,292
LAMBOLEY,297
LAMI,251
LAMOTHE,749
LAMOTTE,1185
LAMOUR,795
LAMOUREUX,693
LAMOUROUX,472
LAMY,2679
LANCELOT,398
LANCIEN,333
LANCON,369
LANDAIS,953
LANDES,357
LANDRE,342
LANDREAU,535
LANDRY,820
LANFRANCHI,302
LANG,1323
LANGE,717
LANGEVIN,459
LANGLADE,397
LANGLAIS,803
LANGLET,711
LANGLOIS,3069
LANNES,353
LANNOY,363
LANOE,410
LAPEYRE,1248
LAPIERRE,1105
LAPLACE,889
LAPLANCHE,351
LAPORTE,2840
LAPOUGE,293
LARBI,371
LARCHER,925
LARDY,314
LARGE,438
LARIVIERE,432
LAROCHE,2002
LAROSE,348
LARRE,292
LARRIEU,842
LARROQUE,705
LARTIGUE,715
LARUE,910
LASNE,381
LASNIER,458
LASSALLE,1196
LASSERRE,1567
LASSUS,447
LATAPIE,359
LATASTE,288
LATIL,310
LATOUCHE,287
LATOUR,1138
LAUDE,439
LAUER,290
LAUGIER,876
LAUNAY,2269
LAURE,299
LAURENCE,456
LAURENS,839
LAURENT,11577
LAURET,1190
LAURIER,279
LAUTIER,310
LAVAL,1626
LAVALLEE,248
LAVAUD,950
LAVAUX,252
LAVERGNE,1482
LAVIE,363
LAVIELLE,252
LAVIGNE,1496
LAVILLE,918
LAY,283
LE,1148
LEAL,301
LEBAILLY,314
LEBAS,982
LEBEAU,1144
LEBEGUE,377
LEBEL,578
LEBERT,464
LEBLANC,2913
LEBLOND,1409
LEBOEUF,568
LEBON,2035
LEBORGNE,594
LEBOUC,290
LEBOUCHER,608
LEBOURG,422
LEBOURGEOIS,311
LEBRET,570
LEBRETON,2248
LEBRUN,2874
LECA,512
LECANU,259
LECARPENTIER,450
LECAT,615
LECERF,833
LECHAT,764
LECHEVALIER,375
LECHEVALLIER,385
LECLAIR,381
LECLAIRE,343
LECLERC,4244
LECLERCQ,3555
LECLERE,1040
LECOCQ,1141
LECOEUR,610
LECOINTE,443
LECOINTRE,538
LECOMPTE,394
LECOMTE,3924
LECONTE,1817
LECOQ,1670
LECOURT,719
LECUYER,1232
LEDIEU,296
LEDOUX,1394
LEDRU,488
LEDUC,2251
LEE,730
LEFEBVRE,9773
LEFEUVRE,1223
LEFEVRE,7403
LEFORESTIER,276
LEFORT,1959
LEFRANC,1147
LEFRANCOIS,1295
LEGAL,329
LEGAY,764
LEGEAY,477
LEGENDRE,2062
LEGER,3316
LEGLISE,440
LEGOUPIL,252
LEGRAIN,469
LEGRAND,6490
LEGRAS,765
LEGRIS,424
LEGROS,2457
LEGUAY,403
LEHMANN,788
LEHOUX,379
LEJEUNE,2483
LELARGE,321
LELEU,1380
LELIEVRE,2279
LELLOUCHE,402
LELONG,1269
LELOUP,890
LEMAIRE,5323
LEMAITRE,2602
LEMAN,355
LEMARCHAND,1274
LEMARIE,703
LEMASSON,633
LEMEE,526
LEMERCIER,873
LEMESLE,526
LEMEUNIER,253
LEMIERE,474
LEMIRE,320
LEMOINE,4601
LEMONNIER,1959
LEMPEREUR,366
LENAIN,305
LENEVEU,248
LENFANT,1011
LENGLET,632
LENNE,430
LENOBLE,479
LENOIR,2154
LENORMAND,760
LENTZ,283
LEON,1559
LEONARD,1561
LEONARDI,269
LEONE,417
LEONETTI,253
LEONI,267
LEPAGE,1553
LEPELTIER,356
LEPERLIER,249
LEPERS,272
LEPETIT,772
LEPINAY,517
LEPINE,829
LEPLAT,311
LEPOUTRE,297
LEPRETRE,909
LEPRINCE,742
LEQUEUX,414
LERAT,458
LERAY,1275
LERICHE,752
LEROI,287
LEROUGE,572
LEROUX,4776
LEROY,9840
LEROYER,412
LESAGE,2367
LESCURE,778
LESIEUR,585
LESNE,464
LESOURD,317
LESPAGNOL,293
LESPINASSE,422
LESTRADE,408
LESUEUR,1053
LESUR,361
LETANG,309
LETELLIER,1478
LETERRIER,261
LETESSIER,283
LETORT,317
LETOURNEAU,271
LETOURNEUR,606
LEVALLOIS,348
LEVASSEUR,1409
LEVAVASSEUR,428
LEVEAU,429
LEVEILLE,402
LEVEL,297
LEVEQUE,2984
LEVERT,258
LEVESQUE,684
LEVET,400
LEVI,285
LEVIEUX,271
LEVILLAIN,448
LEVY,3872
LEYMARIE,342
LHERITIER,258
LHERMITTE,369
LHEUREUX,470
LHOMME,874
LHOSTE,316
LHOTE,277
LHUILLIER,592
LI,1036
LIARD,385
LIBERT,462
LIEGEOIS,350
LIENARD,682
LIEVIN,251
LIEVRE,440
LIGER,452
LIGNON,259
LIM,545
LIMA,294
LIMOUSIN,447
LIN,601
LINARD,288
LION,620
LIOT,300
LIOTARD,287
LIU,712
LIVET,316
LLORCA,310
LLORENS,310
LLORET,260
LO,491
LOBRY,524
LOCATELLI,605
LOGEAIS,276
LOISEAU,1962
LOISEL,877
LOISON,881
LOISY,290
LOIZEAU,369
LOMBARD,2267
LOMBARDI,374
LOMBARDO,683
LOMBART,258
LONG,737
LONGO,405
LONGUET,586
LOPES,1890
LOPEZ,7386
LOQUET,284
LORAND,279
LORENTE,300
LORENTZ,320
LORENZI,485
LORENZO,350
LORET,315
LORIN,483
LORIOT,456
LORRAIN,358
LORY,330
LOTH,258
LOUBET,674
LOUET,367
LOUIS,4096
LOUISE,299
LOUISON,269
LOUP,280
LOURENCO,469
LOUSTALOT,277
LOUSTAU,279
LOUVEAU,284
LOUVEL,562
LOUVET,1021
LOYER,707
LOZACH,259
LOZANO,506
LU,290
LUBIN,458
LUC,472
LUCAS,5373
LUCCHINI,267
LUCE,631
LUCET,267
LUCIANI,758
LUCIEN,280
LUDWIG,344
LUNEAU,343
LUNEL,262
LUQUET,416
LUTZ,673
LUX,422
LY,1212
LYONNET,256
MABILLE,399
MABIRE,288
MACE,1663
MACHADO,641
MACHET,340
MACQUET,287
MADANI,251
MADEC,755
MADELAINE,390
MADI,668
MAERTEN,251
MAES,748
MAFFRE,441
MAGNAN,619
MAGNE,1242
MAGNIEN,402
MAGNIER,1020
MAGNIN,986
MAHE,2208
MAHIEU,779
MAHIEUX,378
MAHMOUDI,252
MAIGNAN,488
MAIGRET,253
MAILLARD,3383
MAILLE,807
MAILLET,1963
MAILLOT,2201
MAINGUY,368
MAIRE,1588
MAIRESSE,285
MAISON,532
MAISONNEUVE,775
MAITRE,1259
MAKHLOUF,287
MALARD,378
MALAVAL,286
MALEK,287
MALET,980
MALHERBE,663
MALKA,266
MALKI,283
MALLARD,460
MALLET,3125
MAMAN,260
MANCEAU,919
MANCEL,311
MANCINI,451
MANDIN,413
MANDON,400
MANGIN,1218
MANIERE,323
MANIN,263
MANSON,278
MANSOUR,442
MANSOURI,644
MANSUY,422
MANUEL,446
MANZONI,249
MARAIS,1106
MARAVAL,280
MARC,1565
MARCEAU,541
MARCEL,942
MARCELIN,293
MARCELLIN,454
MARCHAIS,643
MARCHAL,2918
MARCHAND,6094
MARCHE,468
MARCHETTI,596
MARCHI,299
MARCIANO,409
MARCO,508
MARCON,692
MARCOS,270
MARCOU,368
MARCOUX,372
MARCQ,270
MARECHAL,2668
MARET,431
MARGOT,298
MARGUERITE,353
MARGUET,368
MARI,511
MARIA,421
MARIANI,766
MARIE,5803
MARIEN,268
MARIETTE,531
MARIN,2601
MARINI,363
MARINO,619
MARION,2224
MARIOTTI,327
MARLIER,351
MARLIN,293
MAROLLEAU,277
MAROT,745
MARQUANT,288
MARQUE,517
